Identificador,Nombre,Categoría,Normativa
10309,Galium viridiflorum,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10301,Galium viscosum,-,-
12016,Gaudinia hispanica,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
13033,Genista ancistrocarpa,-,-
8213,Genista falcata,-,-
8215,Genista haenseleri,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8226,Genista longipes subsp. viciosoi,-,-
8236,Genista pumila subsp. pumila,-,-
13070,Genista tournefortii subsp. tournefortii,-,-
13068,Genista tridens subsp. juniperina,-,-
12754,Gennaria diphylla,-,-
9234,Gentiana alpina,-,-
9235,Gentiana boryi,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106592,Gentiana lutea subsp. lutea,-,-
9239,Gentiana pneumonanthe,-,-
104837,Gentiana pneumonanthe subsp. depressa,-,-
