Identificador,Nombre,Categoría,Normativa
9240,Gentiana sierrae,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8831,Geranium cataractarum,-,-
8833,Geranium cazorlense,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
9376,Glandora nitida (=Lithodora nitida,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12153,Glyceria fluitans,-,-
10025,Gratiola linifolia,-,-
10024,Gratiola officinalis,-,-
106359,Groenlandia densa,-,-
104734,Guiraoa arvensis,-,-
104839,Gymnadenia conopsea,-,-
105783,Gymnocarpium robertianum,-,-
12947,Gypsophila montserratii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12953,Gypsophila tomentosa,-,-
9467,Gyrocaryum oppositifolium,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7054,Halimium atriplicifolium subsp. atriplicifolium,-,-
13297,Halimium calycinum,-,-
7061,Halimium umbellatum subsp. viscosum,-,-
106361,Halocnemum strobilaceum (=Halocnemum cruciatum),En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6234,Halopeplis amplexicaulis,-,-
105805,Haplophyllum bastetanum,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8804,Haplophyllum linifolium,-,-
107571,Haplophyllum rosmarinifolium,-,-
10926,Hedypnois arenaria,-,-
106363,Hedysarum boveanum subsp. costaetalentii,-,-
7075,Helianthemum alypoides,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7080,Helianthemum appenninum subsp. estevei,-,-
7091,Helianthemum cinereum subsp. guadiccianum,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106364,Helianthemum marifolium subsp. frigidulum,-,-
113388,Helianthemum motae,-,-
7128,Helianthemum pannosum,-,-
7136,Helianthemum raynaudii,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
11958,Helictotrichon filifolium subsp. arundanum,-,-
11960,Helictotrichon filifolium subsp. velutinum,-,-
106366,Hepatica nobilis,-,-
6358,Herniaria boissieri subsp. boissieri,-,-
6361,Herniaria fontanesii subsp. almeriana,-,-
10699,Heteranthemis viscidehirta,-,-
10859,Hieracium baeticum,-,-
10875,Hieracium texedense,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106367,Hippocrepis castroviejoi,-,-
104808,Hippocrepis eriocarpa,-,-
104840,Hippocrepis nevadensis,-,-
104841,Hippocrepis prostrata,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7998,Hippocrepis salzmannii,-,-
8006,Hippocrepis tavera-mendozae,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
104710,Hohenackeria exscapa,-,-
12041,Holcus caespitosus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12042,Holcus grandiflorus,-,-
7270,Hormathophylla baetica,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7271,Hormathophylla cadevalliana,-,-
7274,Hormathophylla lapeyrousiana,-,-
7273,Hormathophylla reverchonii,-,-
11411,Hydrocharis morsus-ranae,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10677,Hymenostemma pseudoanthemis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6942,Hypericum androsaemum,-,-
6946,Hypericum elongatum subsp. callithyrsum,-,-
105814,Hypericum robertii  (=Hypericum hispanicum),LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10905,Hypochaeris rutea (=Achyrophorus rutea),Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10906,Hypochaeris salzmanniana,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7494,Iberis carnosa subsp. embergeri,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7496,Iberis ciliata subsp. welwitschii,-,-
7503,Iberis fontqueri,-,-
7506,Iberis grosii,-,-
7511,Iberis nazarita,-,-
8626,Ilex aquifolium,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12673,Iris serotina,-,-
5510,Isoetes durieui,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119833,Isoetes lacustris,-,-
5513,Isoetes setaceum (=Isoetes setacea),LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
5519,Isoetes velatum subsp. velatum,-,-
11572,Isolepis fluitans,-,-
10206,Jasione amethystina subsp. amethystina,-,-
106369,Jasione corymbosa,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
113391,Jasione crispa subsp. segurensis,-,-
10223,Jasione penicillata,-,-
11529,Juncus emmanuelis,-,-
5743,Juniperus communis subsp. alpina,-,-
5744,Juniperus communis subsp. hemisphaerica,-,-
5739,Juniperus navicularis,-,-
5733,Juniperus oxycedrus subsp. macrocarpa (=Juniperus macrocarpa),Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
5735,Juniperus phoenicea,-,-
