Identificador,"Nombre","Categoría","Normativa"
9007,"Bupleurum bourgaei","-","-"
2529,"Burhinus oedicnemus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
108399,"Bursa scrobilator","-","-"
12934,"Buxus balearica","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12933,"Buxus sempervirens","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
16197,"Cairina moschata","-","-"
10772,"Calendula suffruticosa subsp. tomentosa","-","-"
104773,"Calicotome intermedia","-","-"
2543,"Calidris","-","-"
2544,"Calidris alba","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2545,"Calidris alpina","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
16238,"Calidris canutus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
16245,"Calidris ferruginea","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
16246,"Calidris maritima","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2546,"Calidris minuta","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2548,"Calidris pugnax","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15127,"Calidris temminckii","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
9782,"Callitriche cribosa","-","-"
9785,"Callitriche obtusangula","-","-"
9788,"Callitriche regis-jubae","-","-"
113939,"Calonectris borealis","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15129,"Calonectris diomedea","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106550,"Calopteryx","-","-"
119788,"Calopteryx haemorrhoidalis","-","-"
105981,"Calopteryx virgo","-","-"
9338,"Calystegia soldanella","-","-"
108110,"Calyx nicaeensis","-","-"
13106,"Campanula alata (=Campanula primulifolia)","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
10192,"Campanula specularioides","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104410,"Camphorosma monspeliaca","-","-"
104415,"Caralluma europaea","-","-"
11275,"Carduncellus cuatrecasasii","-","-"
11010,"Carduus carlinoides subsp. hispanicus","-","-"
11017,"Carduus lusitanicus subsp. santacreui","-","-"
11020,"Carduus meonanthus subsp. valentinus","-","-"
11021,"Carduus myriacanthus","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11027,"Carduus rivasgodayanus","-","-"
11635,"Carex acuta","-","-"
11640,"Carex camposii","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106346,"Carex capillaris","-","-"
13109,"Carex demissa","-","-"
11656,"Carex extensa","-","-"
